EventId,EventTemplate,Occurrences
acf04b88,"uhci_hcd <*>:<*>:1f.<*>: new USB bus registered, assigned bus number <*>",1
e39ad5df,hub <*>-<*>:<*>.<*>: USB hub found,1
8a290bf6,hub <*>-<*>:<*>.<*>: <*> ports detected,1
c75567e3,EXT3 FS on <*> internal journal,2
6c42828b,device-mapper: <*>.<*>.<*>-ioctl (<*>-<*>-<*>) initialised: dm@uk.sistina.com,1
71245fa0,cdrom: open failed.,1
6fcba8c0,Adding 262072k swap on /dev/hda3. Priority:<*> extents:<*>,1
ed59e001,IA-<*> Microcode Update Driver: v1.<*> <tigran@veritas.com>,1
f086245a,microcode: CPU0 already at revision 0x8 (current=0x8),1
d95c6b60,microcode: No suitable data for cpu <*>,1
c2fb0ec9,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",2
ccd58afe,parport0: irq <*> detected,2
cecc13aa,SCSI subsystem initialized,1
8c748cd6,inserting floppy driver for <*>.<*>.<*>-<*>.<*>,1
03464367,Floppy drive(s): fd0 is <*>.44M,1
fe43e177,FDC <*> is a National Semiconductor PC<*>,1
7640830c,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html,2
539733fd,0000:<*>:0c.<*>: 3Com PCI 3c905C Tornado at 0xec80. Vers LK1.<*>.<*>,2
130940ed,ip_tables: (C) <*>-<*> Netfilter core team,2
1bef8313,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT,1
f6358903,Bluetooth: <*> ver <*>.<*>,3
cd4e8007,Bluetooth: HCI device and connection manager initialized,1
b630a605,Bluetooth: <*> <*> layer initialized,4
fa1eaf6a,lp0: using parport0 (polling).,1
43563a1c,lp0: console ready,1
9b1751bd,succeeded,2
8db4d1ba,No such internal service: services/stream - DISABLING,1
f009d75f,sm-client startup succeeded,1
1f6d8f8d,bind failed (Address already in use (errno = <*>)). service = telnet,1
e7d54ca8,Service telnet failed to start and is deactivated.,1
464389b7,xinetd Version <*>.<*>.<*> started with libwrap loadavg options compiled in.,1
76d915af,Started working: <*> available services,1
29cf0aab,Dec <*> <*>:<*>:<*> Privoxy(<*>) Info: loading configuration file '/etc/privoxy/config':,1
26de28f7,Started gpm successfully. Entered daemon mode.,1
c2d11385,htt startup succeeded,1
2de79c1b,started.,1
0e8eb195,file descriptor of service comsat has been closed,1
e09949fa,select reported EBADF but no bad file descriptors were found,1
8f48a2bf,xfs startup succeeded,1
a75ecd26,anacron startup succeeded,1
a57547ae,Starting background readahead:,1
f5cd6761,messagebus startup succeeded,1
4b246f20,Squid Parent: child process <*> started,1
138f374c,named startup succeeded,1
6c31fad9,starting BIND <*>.<*>.<*> -u named -t /var/named/chroot,1
f3dc4e72,using <*> CPU,1
91e13621,loading configuration from '/etc/named.conf',1
6a6752aa,listening on IPv4 interface <*> <*>#<*>,24
24da8a29,ntpd <*>.<*>.<*>@<*>.<*>-r Thu Mar <*> <*>:<*>:<*> EST <*> (<*>),1
be1fb44d,NET-SNMP version <*>.<*>.<*>,1
655b0883,precision = <*>.<*> usec,1
99132f5d,kernel time sync <*> <*>,3
15879ba7,frequency initialized <*>.<*> PPM from /var/lib/ntp/drift,1
8517948b,"configure: keyword ""authenticate"" unknown, line ignored",1
e7715c43,couldn't add command channel <*> not found,2
853f0e2d,"rsyncd version <*>.<*>.<*> starting, listening on port <*>",1
75101dcd,running,1
eea148be,mdadm succeeded,1
d6681e00,mdmpd failed,1
85707ec7,"synchronized to LOCAL(<*>), stratum=<*>",1
b780997e,check pass; user unknown,93
d7aa792a,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= <*>,93
a238b831,connection from <*> () at <*> Dec <*> <*>:<*>:<*> <*>,24
980efd56,ttloop: peer died: Invalid or incomplete multibyte or wide character,62
b52b9c71,ttloop: read: Connection reset by peer,8
3bb0e3d5,ROOT LOGIN ON tty<*>,2
5c0632fa,bad username [\],1
03649f38,Couldn't authenticate user,1
c148af6a,ttloop: read: Connection timed out,56
962331ca,open(/dev/pts/<*>): No such file or directory,4
285f25e5,connection from <*> <*> at <*> Jan <*> <*>:<*>:<*> <*>,225
4f67b71e,Received SNMP packet(s) from <*>,1
9998416d,warning: can't get client address: Connection reset by peer,4
ee259d46,getpeername (ftpd): Transport endpoint is not connected,2
